Data,Programa,Episódio,Nº do episódio,Media
12/03/2026,+Risadas,Especial Ronald Golias,1,DIA DO HUMOR PILULA - GOLIAS
08/03/2026,Alô Christina,Programa de 30/04/1997,1,6369300299112
09/03/2026,Astros,Programa de 22/10/2008 ,29,6352182462112
16/03/2026,Astros,Programa de 29/10/2008,30,6352183449112
23/03/2026,Astros,Programa de 05/11/2008,31,6352184043112
30/03/2026,Astros,Programa de 12/11/2008,32,6352184242112
06/04/2026,Astros,Programa de 19/11/2008,33,6352183555112
13/04/2026,Astros,Programa de 26/11/2008,34,6352183272112
20/04/2026,Astros,Programa de 03/12/2008,35,6352182962112
27/04/2026,Astros,Programa de 10/12/2008,36,6352183664112
04/05/2026,Astros,Programa de 17/12/2008,37,6352184352112
11/05/2026,Astros,Programa de 24/12/2008,38,6352184255112
18/05/2026,Astros,Programa de 31/12/2008,39.0,6352183462112
21/03/2026,Bom dia & Cia com Jacky ,Programa de 21/09/1998,1,6376019445112
28/03/2026,Bom dia & Cia com Jacky ,Programa de 22/09/1998,2,6376019349112
04/04/2026,Bom dia & Cia com Jacky ,Programa de 23/09/1998,3,6376020731112
07/03/2026,Bom dia & Cia com Jacky ,Programa de 05/11/1998,34,d707574c-f186-42cb-84f4-40d0cb632588
14/03/2026,Bom dia & Cia com Jacky ,Programa de 06/11/1998,35,035b37cf-7d30-40f7-b9b5-09d23e0c90d8
11/04/2026,Bom dia & Cia com Jacky ,Programa de 24/09/1998,4,6376018286112
18/04/2026,Bom dia & Cia com Jacky ,Programa de 25/09/1998,5,6376017784112
25/04/2026,Bom dia & Cia com Jacky ,Programa de 28/09/1998,6,6376084234112
09/05/2026,Bom dia & Cia com Jacky ,Programa de 29/09/1998,7,6376086472112
16/05/2026,Bom dia & Cia com Jacky ,Programa de 30/09/1998,8.0,6376085842112
14/05/2026,Bozo,Bozo,,FILLER_BOZO_09
08/04/2026,Canta e Dança Minha Gente,Programa de 01/01/2000,1,6349825970112
06/05/2026,Canta e Dança Minha Gente,Programa de 16/04/2000,11,6373181348112_ARQUIVADO
15/05/2026,Canta e Dança Minha Gente,Programa de 21/05/2000,13,6373125182112
13/05/2026,Canta e Dança Minha Gente,Programa de 28/05/2000,14.0,6361848364112
