Data,Hora,Programa,Episódio,Nº do episódio,Media
19/03/2026,01:33,Programa Livre,Programa de 02/12/1992,75,efff01ce-e5e6-49e2-85a5-9c0e2194d039
19/03/2026,02:31,Casos de Família,Programa de 02/07/2009,94,6376594410112
19/03/2026,03:24,Vamos Nessa,Programa de 06/11/1983,4,6375688624112
19/03/2026,04:01,Passa ou Repassa,Programa de 29/11/1995,60,6366910719112
19/03/2026,04:33,Táxi do Gugu,54. Aranha,54,6368324479112
19/03/2026,04:55,Show do Milhão,Programa de 22/04/2001,174,91708c0b-62af-4faa-b162-b373a6778814
19/03/2026,05:56,Tentação,Programa de 14/05/1995,20,6372034714112
19/03/2026,06:36,Táxi do Gugu,Espuma,25,bf322393-cda3-4156-a458-5a8f6813fccf
19/03/2026,06:55,Programa do Ratinho,Programa de 11/09/1998,4,6375931134112
19/03/2026,08:05,Eliana & Cia,Programa de 15/10/1997,129,361ce003-9e4f-4d07-a380-48c385b1c6ba
19/03/2026,08:49,Eliana & Cia,Programa de 16/10/1997,130,66004e90-1360-492b-9e7c-ebaae511d4b4
19/03/2026,09:32,Programa Livre,Programa de 02/12/1992,75,efff01ce-e5e6-49e2-85a5-9c0e2194d039
19/03/2026,10:30,Casos de Família,Programa de 02/07/2009,94,6376594410112
19/03/2026,11:23,Vamos Nessa,Programa de 06/11/1983,4,6375688624112
19/03/2026,12:00,Passa ou Repassa,Programa de 29/11/1995,60,6366910719112
19/03/2026,12:32,Táxi do Gugu,54. Aranha,54,6368324479112
19/03/2026,12:54,Show do Milhão,Programa de 22/04/2001,174,91708c0b-62af-4faa-b162-b373a6778814
19/03/2026,13:55,Tentação,Programa de 14/05/1995,20,6372034714112
19/03/2026,14:35,Táxi do Gugu,Espuma,25,bf322393-cda3-4156-a458-5a8f6813fccf
19/03/2026,14:54,Programa do Ratinho,Programa de 11/09/1998,4,6375931134112
19/03/2026,16:08,Eliana & Cia,Programa de 15/10/1997,129,361ce003-9e4f-4d07-a380-48c385b1c6ba
19/03/2026,16:51,Eliana & Cia,Programa de 16/10/1997,130,66004e90-1360-492b-9e7c-ebaae511d4b4
19/03/2026,17:35,Programa Livre,Programa de 02/12/1992,75,efff01ce-e5e6-49e2-85a5-9c0e2194d039
19/03/2026,18:33,Casos de Família,Programa de 02/07/2009,94,6376594410112
19/03/2026,19:25,Vamos Nessa,Programa de 06/11/1983,4,6375688624112
19/03/2026,20:03,Passa ou Repassa,Programa de 29/11/1995,60,6366910719112
19/03/2026,20:34,Táxi do Gugu,54. Aranha,54,6368324479112
19/03/2026,20:57,Show do Milhão,Programa de 22/04/2001,174,91708c0b-62af-4faa-b162-b373a6778814
19/03/2026,21:57,Tentação,Programa de 14/05/1995,20,6372034714112
19/03/2026,22:38,Táxi do Gugu,Espuma,25,bf322393-cda3-4156-a458-5a8f6813fccf
19/03/2026,22:56,Programa do Ratinho,Programa de 11/09/1998,4,6375931134112
20/03/2026,00:07,Eliana & Cia,Programa de 15/10/1997,129,361ce003-9e4f-4d07-a380-48c385b1c6ba
20/03/2026,00:50,Eliana & Cia,Programa de 17/10/1997,131,62579d2b-6b12-4357-8250-296477141b1b
20/03/2026,01:28,Programa Livre,Programa de 07/12/1992,76,f047a5a1-cd8e-49fa-bfd9-dda0815b18b9
20/03/2026,02:26,Casos de Família,Programa de 03/07/2009,95,6376593432112
