Data,Programa,Episódio,Media
03/11/2025,Astros,Programa de 18/06/2008,6351243961112
03/11/2025,TV Animal,Programa de 29/01/1989,6351243354112
03/11/2025,Show do Milhão,01/09/2000,6368994335112
03/11/2025,Rei Majestade,Programa de 21/06/2006,6370874289112
03/11/2025,Programa do Ratinho,Programa de 03/10/98,98008609_programadoratinho_1998_022_01
03/11/2025,Eliana & Cia,Programa de 13/05/1997,6366858175112
03/11/2025,Programa Livre,Programa de 25/06/1992,6372906292112
03/11/2025,Casos de Família,Programa de 01/06/2009,6372464454112
03/11/2025,Táxi do Gugu,28. Mala de dinheiro,6368325363112
03/11/2025,Táxi do Gugu,5. Arrancar Braço,6368324586112
04/11/2025,Eliana & Cia,Programa de 14/05/1997,6366858174112
04/11/2025,Programa Livre,Programa de 30/06/1992,6372904530112
04/11/2025,Táxi do Gugu,9. Os pestinhas,6368326356112
04/11/2025,Casos de Família,Programa de 02/06/2009,6372465147112
04/11/2025,Táxi do Gugu,29. Pomba da paz,6368326153112
04/11/2025,Máquina da Fama,Programa de 27/01/2014,6375769951112
04/11/2025,Passa ou Repassa,Programa de 13/03/1994,6369849653112
04/11/2025,Show do Milhão,Programa de 13/09/2000,6368995312112
04/11/2025,Sete Meio,Programa de 22/06/2003,6376345756112
04/11/2025,Programa do Ratinho,Programa de 05/10/98,98008609_programadoratinho_1998_023_01
05/11/2025,Eliana & Cia,Programa de 15/05/1997,6366857780112
05/11/2025,Programa Livre,Programa de 01/07/1992,6372903953112
05/11/2025,Casos de Família,Programa de 03/06/2009,6372464945112
05/11/2025,Canta e Dança Minha Gente,Programa de 11/06/2000,6361610301112
05/11/2025,TV Animal,Programa de 24/10/1995,6351241656112
05/11/2025,Táxi do Gugu,34. A morte do cachorrinho,6368326539112
05/11/2025,Show do Milhão,Programa de 14/09/2000,6368994928112
05/11/2025,Porta da Esperança,Programa de 17/08/1986,6362805275112
05/11/2025,Programa do Ratinho,Programa de 06/10/98,98008609_programadoratinho_1998_024_01
05/11/2025,Táxi do Gugu,31. Invasão das cobras,6368324970112
05/11/2025,Táxi do Gugu,113. A boneca,6368324482112
06/11/2025,Eliana & Cia,Programa de 16/05/1997,6366857782112
06/11/2025,Táxi do Gugu,8. O Príncipe sapo,6368326357112
06/11/2025,Programa Livre,Programa de 04/07/1992,6372904450112
06/11/2025,Casos de Família,Programa de 04/06/2009,6372465542112
06/11/2025,Táxi do Gugu,9. Os pestinhas,6368326356112
06/11/2025,Vamos Nessa,Programa de 27/10/1984,84000003_vamosnessa_1984_004_01
06/11/2025,Passa ou Repassa,Programa de 07/06/1995,6366911462112
06/11/2025,Show do Milhão,Programa de 17/09/2000,6368994930112
06/11/2025,Tentação,Programa de 15/01/1995,6368208432112
06/11/2025,Programa do Ratinho,Programa de 07/10/98,98008609_programadoratinho_1998_025_01
06/11/2025,Táxi do Gugu,54. Aranha,6368324479112
07/11/2025,Eliana & Cia,Programa de 19/05/1997,6367561583112
07/11/2025,Táxi do Gugu,60. A macacada,6368326437112
07/11/2025,Programa Livre,Programa de 10/07/1992,6372903651112
07/11/2025,Casos de Família,Programa de 05/06/2009,6372463991112
07/11/2025,Canta e Dança Minha Gente,Programa de 18/06/2000,6362672669112
07/11/2025,TV Animal,Programa de 10/05/1996,6351241876112
07/11/2025,Show do Milhão,Programa de 20/09/2000,6368994840112
07/11/2025,Gol Show,Programa de 08/02/1998,6365966315112
07/11/2025,Programa do Ratinho,Programa de 08/10/98,98008609_programadoratinho_1998_026_01
07/11/2025,Táxi do Gugu,5. Arrancar Braço,6368324586112
08/11/2025,Eliana & Cia,Programa de 20/05/1997,6367561506112
08/11/2025,Bom dia & Cia com Jacky,Programa de 13/10/1998,6376117813112
08/11/2025,Casa da Angélica,Programa de 12/10/1993,6366856168112
08/11/2025,Fantasia,Programa de 16/12/1997,6373663207112
08/11/2025,Em Nome do Amor,Programa de 12/02/1995,6351424845112
08/11/2025,Viva a Noite,Programa de 13/01/1990,6363640693112
08/11/2025,Show Maravilha,Programa de 06/03/1993,6367502615112
08/11/2025,Programa Sergio Mallandro,Programa de 24/11/1994,6367517511112
08/11/2025,Fala Dercy,Programa de 26/03/2000,6364748518112
09/11/2025,Domingo no Parque,Programa de 26/10/1986,6366063857112
09/11/2025,Curtindo uma Viagem,Programa de 15/09/2001,6352037959112
09/11/2025,Domingo Legal,Programa de 18/04/1993,6362544557112
09/11/2025,Topa Tudo Por Dinheiro,Programa de 28/07/1991,6363256170112
09/11/2025,Programa Silvio Santos,Programa de 29/03/2009,6362992142112
09/11/2025,Show de Calouros,Programa de 28/12/1986,6361808578112
09/11/2025,Táxi do Gugu,9. Os pestinhas,6368326356112
09/11/2025,Táxi do Gugu,56. A turma do barulho,6368323301112
10/11/2025,Eliana & Cia,Programa de 21/05/1997,6367561674112
10/11/2025,Programa Livre,Programa de 17/08/1992,6372903541112
10/11/2025,Táxi do Gugu,34. A morte do cachorrinho,6368326539112
10/11/2025,Casos de Família,Programa de 08/06/2009,6372518399112
10/11/2025,Astros,Programa de 25/06/2008,6351245624112
10/11/2025,TV Animal,Programa de 19/02/1989,6374743399112
10/11/2025,Show do Milhão,Programa de 21/09/2000,6368996788112
10/11/2025,Rei Majestade,Programa de 28/06/2006,6370874288112
10/11/2025,Programa do Ratinho,Programa de 09/10/98,98008609_programadoratinho_1998_027_01
10/11/2025,Táxi do Gugu,18. A granada,6368326538112
11/11/2025,Eliana & Cia,Programa de 22/05/1997,6367561398112
11/11/2025,Programa Livre,Programa de 19/08/1992,6377454486112
11/11/2025,Máquina da Fama,Programa de 03/02/2014,6375768584112
11/11/2025,Passa ou Repassa,Programa de 20/03/1994,6369849058112
11/11/2025,Show do Milhão,Programa de 24/09/2000,6369105374112
11/11/2025,Sete Meio,Programa de 29/06/2003,6376344308112
11/11/2025,Programa do Ratinho,Programa de 10/10/98,98008609_programadoratinho_1998_028_01
11/11/2025,Casos de Família,Programa de 09/06/2009,6372904265112
12/11/2025,Eliana & Cia,Programa de 23/05/1997,6367560422112
12/11/2025,Programa Livre,Programa de 21/08/1992,6374091483112
12/11/2025,Casos de Família,Programa de 10/06/2009,6372902118112
12/11/2025,Canta e Dança Minha Gente,Programa de 02/07/2000,6361610481112
12/11/2025,TV Animal,Programa de 25/10/1995,6351242862112
12/11/2025,Show do Milhão,Programa de 27/09/2000,6369104008112
12/11/2025,Porta da Esperança,Programa de 21/09/1986,6362803900112
12/11/2025,Programa do Ratinho,Programa de 12/10/98,98008609_programadoratinho_1998_029_01
12/11/2025,Táxi do Gugu,113. A boneca,6368324482112
12/11/2025,Táxi do Gugu,8. O Príncipe sapo,6368326357112
12/11/2025,Táxi do Gugu,54. Aranha,6368324479112
13/11/2025,Eliana & Cia,Programa de 23/05/1997,6367560422112
13/11/2025,Eliana & Cia,Programa de 26/05/1997,6367561673112
13/11/2025,Táxi do Gugu,29. Pomba da paz,6368326153112
13/11/2025,Programa Livre,Programa de 24/08/1992,6374092154112
13/11/2025,Casos de Família,Programa de 11/06/2009,6372902021112
13/11/2025,Táxi do Gugu,5. Arrancar Braço,6368324586112
13/11/2025,Vamos Nessa,Programa de 03/11/1984,84000003_vamosnessa_1984_005_01
13/11/2025,Passa ou Repassa,Programa de 08/06/1995,6366910882112
13/11/2025,Táxi do Gugu,18. A granada,6368326538112
13/11/2025,Show do Milhão,Programa de 28/09/2000,6368996393112
13/11/2025,Tentação,Programa de 22/01/1995,6368208433112
13/11/2025,Programa do Ratinho,Programa de 13/10/98,98008609_programadoratinho_1998_030_01
13/11/2025,Táxi do Gugu,9. Os pestinhas,6368326356112
14/11/2025,Eliana & Cia,Programa de 26/05/1997,6367561673112
14/11/2025,Eliana & Cia,Programa de 27/05/1997,6367561867112
14/11/2025,Programa Livre,Programa de 24/08/1992,6374092542112
14/11/2025,Casos de Família,Programa de 12/06/2009,6372902703112
14/11/2025,Canta e Dança Minha Gente,Programa de 09/07/2000,6362671693112
14/11/2025,TV Animal,Programa de 13/05/1996,6351242863112
14/11/2025,Táxi do Gugu,9. Os pestinhas,6368326356112
14/11/2025,Show do Milhão,Programa de 01/10/2000,6369104214112
14/11/2025,Gol Show,Programa de 15/02/1998,6365966730112
14/11/2025,Programa do Ratinho,Programa de 14/10/98,98008609_programadoratinho_1998_031_01
14/11/2025,Táxi do Gugu,35. A flor,6368324585112
15/11/2025,Eliana & Cia,Programa de 28/05/1997,6367560915112
15/11/2025,Bom dia & Cia com Jacky,Programa de 13/10/1998,6376117813112
15/11/2025,Fantasia,Programa de 17/12/1997,6373661450112
15/11/2025,Em Nome do Amor,Programa de 19/02/1995,6356337036112
15/11/2025,Viva a Noite,Programa de 20/01/1990,6363641154112
15/11/2025,Fala Dercy,Programa de 02/04/2000,6364748348112
15/11/2025,Show Maravilha,Programa de 06/04/1993,6367445349112
15/11/2025,Programa Sergio Mallandro,Programa de 25/11/1994,6367518080112
15/11/2025,Casa da Angélica,Programa de 02/05/1994,6366855966112
16/11/2025,Domingo no Parque,Programa de 02/11/1986,6366062308112
16/11/2025,Topa Tudo Por Dinheiro,Programa de 04/08/1991,6363256662112
16/11/2025,Programa Silvio Santos,Programa de 05/04/2009,6362990576112
16/11/2025,Show de Calouros,Programa de 03/01/1987,6362711904112
16/11/2025,Curtindo uma Viagem,Programa de 22/09/2001,6352039505112
16/11/2025,Domingo Legal,Programa de 25/04/1993,6363040958112
17/11/2025,Eliana & Cia,Programa de 29/05/1997,6367560706112
17/11/2025,Programa Livre,Programa de 01/09/1992,6374091092112
17/11/2025,Casos de Família,Programa de 15/06/2009,6372903334112
17/11/2025,Astros,Programa de 02/07/2008,6351245127112
17/11/2025,TV Animal,Programa de 05/03/1989,6374742616112
17/11/2025,Show do Milhão,Programa de 04/10/2000,6369103909112
17/11/2025,Rei Majestade,Programa de 05/07/2006,6370873316112
17/11/2025,Programa do Ratinho,Programa de 15/10/98,98008609_programadoratinho_1998_032_01
